Energy,"Atomic Weight, Atomic Charge = [ 1, 0]Depth = 20","Atomic Weight, Atomic Charge = [ 1, 1]Depth = 20","Atomic Weight, Atomic Charge = [ 2, 1]Depth = 20","Atomic Weight, Atomic Charge = [ 3, 1]Depth = 20","Atomic Weight, Atomic Charge = [ 3, 2]Depth = 20","Atomic Weight, Atomic Charge = [ 4, 2]Depth = 20"
0.01,7.6127E+07,4.9566E+04,2.9425E+03,1.0053E+03,7.803E+02,8.8131E+03
0.01,7.6062E+07,4.4321E+04,2.6286E+03,8.9859E+02,6.6807E+02,7.5462E+03
0.02,7.5974E+07,3.9637E+04,2.3463E+03,8.0275E+02,5.7156E+02,6.4585E+03
0.02,7.5855E+07,3.5998E+04,2.1256E+03,7.2741E+02,4.9782E+02,5.6255E+03
0.03,7.5693E+07,3.3204E+04,1.9536E+03,6.6856E+02,4.4061E+02,4.9787E+03
0.04,7.548E+07,3.1486E+04,1.8433E+03,6.3071E+02,3.995E+02,4.5117E+03
0.06,7.5215E+07,3.0853E+04,1.7937E+03,6.1363E+02,3.7006E+02,4.1742E+03
0.07,7.4936E+07,3.1181E+04,1.7965E+03,6.1429E+02,3.4887E+02,3.9257E+03
0.09,7.481E+07,3.2211E+04,1.8339E+03,6.2686E+02,3.3346E+02,3.7397E+03
0.11,7.5033E+07,3.37E+04,1.8906E+03,6.4605E+02,3.2277E+02,3.6053E+03
0.14,7.4487E+07,3.5444E+04,1.9539E+03,6.6752E+02,3.1586E+02,3.5123E+03
0.17,7.3913E+07,3.7328E+04,2.0162E+03,6.8862E+02,3.1126E+02,3.4435E+03
0.2,7.3306E+07,3.9321E+04,2.0758E+03,7.0873E+02,3.0878E+02,3.3966E+03
0.23,7.2643E+07,4.1421E+04,2.1333E+03,7.28E+02,3.0862E+02,3.3731E+03
0.27,7.1786E+07,4.3635E+04,2.1865E+03,7.4576E+02,3.0904E+02,3.351E+03
0.31,7.0483E+07,4.5997E+04,2.2363E+03,7.624E+02,3.1002E+02,3.3345E+03
0.35,6.8556E+07,4.8495E+04,2.2833E+03,7.7816E+02,3.1172E+02,3.3214E+03
0.4,6.6603E+07,5.1181E+04,2.3282E+03,7.9322E+02,3.1395E+02,3.3088E+03
0.45,6.5528E+07,5.4081E+04,2.3713E+03,8.0754E+02,3.1656E+02,3.2942E+03
0.51,6.4795E+07,5.7213E+04,2.4126E+03,8.21E+02,3.1936E+02,3.2748E+03
0.58,6.3515E+07,6.0599E+04,2.452E+03,8.3338E+02,3.2225E+02,3.2482E+03
