t,x,y,z
0.0,-0.6777479,-0.7478745,1.4551621E-6
1.0,-0.67587584,-0.7496157,1.5427545E-6
2.0,-0.6739993,-0.75135213,1.6296009E-6
3.0,-0.6721184,-0.7530837,1.7156065E-6
4.0,-0.6702332,-0.7548104,1.8006764E-6
5.0,-0.66834354,-0.75653225,1.8847163E-6
6.0,-0.66644955,-0.75824916,1.9676318E-6
7.0,-0.6645512,-0.75996125,2.0493285E-6
8.0,-0.6626485,-0.7616684,2.1297128E-6
9.0,-0.6607415,-0.76337063,2.2086913E-6
10.0,-0.6588302,-0.765068,2.2861705E-6
11.0,-0.65691465,-0.76676035,2.3620582E-6
12.0,-0.6549948,-0.76844776,2.4362623E-6
13.0,-0.6530706,-0.7701303,2.5086913E-6
14.0,-0.65114224,-0.77180773,2.5792547E-6
15.0,-0.64920956,-0.7734803,2.6478626E-6
16.0,-0.6472727,-0.7751478,2.714426E-6
17.0,-0.64533156,-0.7768103,2.7788576E-6
18.0,-0.64338624,-0.77846783,2.8410705E-6
19.0,-0.64143676,-0.78012025,2.9009793E-6
20.0,-0.6394831,-0.7817677,2.9585E-6
21.0,-0.6375252,-0.7834101,3.013551E-6
22.0,-0.6355632,-0.7850474,3.0660508E-6
23.0,-0.633597,-0.7866796,3.1159213E-6
24.0,-0.6316268,-0.7883068,3.1630855E-6
25.0,-0.6296524,-0.78992885,3.2074693E-6
26.0,-0.62767386,-0.7915458,3.2490004E-6
27.0,-0.62569124,-0.79315764,3.2876094E-6
28.0,-0.62370455,-0.79476434,3.3232295E-6
29.0,-0.6217138,-0.79636586,3.3557972E-6
30.0,-0.619719,-0.7979623,3.3852516E-6
31.0,-0.6177202,-0.7995535,3.4115355E-6
32.0,-0.61571735,-0.8011396,3.4345953E-6
33.0,-0.61371046,-0.8027205,3.4543807E-6
34.0,-0.61169964,-0.80429614,3.470846E-6
35.0,-0.60968477,-0.8058666,3.4839488E-6
36.0,-0.60766596,-0.8074319,3.4936518E-6
37.0,-0.6056432,-0.8089919,3.4999216E-6
38.0,-0.60361654,-0.8105467,3.50273E-6
39.0,-0.60158587,-0.81209624,3.502053E-6
40.0,-0.5995513,-0.8136405,3.497872E-6
41.0,-0.5975129,-0.81517947,3.4901736E-6
42.0,-0.5954706,-0.8167132,3.4789498E-6
43.0,-0.5934244,-0.8182416,3.4641973E-6
44.0,-0.59137434,-0.81976473,3.4459192E-6
45.0,-0.5893205,-0.8212825,3.4241236E-6
46.0,-0.58726275,-0.822795,3.3988244E-6
47.0,-0.58520126,-0.82430214,3.370042E-6
48.0,-0.58313596,-0.82580394,3.3378012E-6
49.0,-0.58106685,-0.82730037,3.3021338E-6
50.0,-0.578994,-0.82879144,3.263077E-6
51.0,-0.57691735,-0.83027714,3.2206738E-6
52.0,-0.574837,-0.8317574,3.1749732E-6
53.0,-0.57275295,-0.83323234,3.12603E-6
54.0,-0.5706652,-0.83470184,3.073904E-6
55.0,-0.5685738,-0.8361659,3.0186613E-6
56.0,-0.5664786,-0.8376246,2.9603736E-6
57.0,-0.5643798,-0.83907783,2.8991171E-6
58.0,-0.5622774,-0.8405256,2.834974E-6
59.0,-0.5601713,-0.84196794,2.7680312E-6
60.0,-0.55806166,-0.8434048,2.6983805E-6
61.0,-0.5559484,-0.84483624,2.6261184E-6
62.0,-0.5538315,-0.84626216,2.5513461E-6
63.0,-0.5517111,-0.8476826,2.4741685E-6
64.0,-0.54958713,-0.84909755,2.3946948E-6
65.0,-0.5474596,-0.85050696,2.3130383E-6
66.0,-0.5453286,-0.8519109,2.2293152E-6
67.0,-0.54319406,-0.8533093,2.1436451E-6
68.0,-0.54105604,-0.8547022,2.056151E-6
69.0,-0.53891456,-0.8560895,1.9669585E-6
70.0,-0.5367696,-0.8574713,1.8761948E-6
