t,x,y,z
0.0,-3.5968764,-4.0392528,0.097412206
1.0,-3.5960438,-4.039953,0.097396545
2.0,-3.595211,-4.0406537,0.09738088
3.0,-3.594378,-4.0413537,0.097365215
4.0,-3.5935447,-4.0420537,0.09734954
5.0,-3.5927114,-4.042753,0.09733386
6.0,-3.5918782,-4.0434527,0.09731819
7.0,-3.5910447,-4.0441523,0.0973025
8.0,-3.590211,-4.0448513,0.09728681
9.0,-3.589377,-4.0455503,0.09727112
10.0,-3.588543,-4.0462494,0.09725542
11.0,-3.5877087,-4.046948,0.097239725
12.0,-3.5868745,-4.0476465,0.09722402
13.0,-3.58604,-4.048345,0.097208306
14.0,-3.5852053,-4.049043,0.09719259
15.0,-3.5843706,-4.0497413,0.09717688
16.0,-3.5835357,-4.050439,0.09716116
17.0,-3.5827005,-4.0511365,0.09714543
18.0,-3.5818653,-4.051834,0.0971297
19.0,-3.58103,-4.0525317,0.09711397
20.0,-3.5801942,-4.053229,0.09709823
21.0,-3.5793586,-4.0539255,0.09708249
22.0,-3.578523,-4.0546227,0.097066745
23.0,-3.5776868,-4.0553193,0.097050995
24.0,-3.5768507,-4.0560155,0.097035244
25.0,-3.5760143,-4.056712,0.097019486
26.0,-3.575178,-4.0574083,0.09700372
27.0,-3.5743413,-4.058104,0.096987955
28.0,-3.5735047,-4.0587997,0.09697218
29.0,-3.5726676,-4.0594954,0.09695641
30.0,-3.5718307,-4.060191,0.09694063
31.0,-3.5709934,-4.0608864,0.09692485
32.0,-3.570156,-4.0615816,0.09690906
33.0,-3.5693185,-4.0622764,0.09689327
34.0,-3.568481,-4.062971,0.09687748
35.0,-3.5676432,-4.063666,0.09686168
36.0,-3.5668051,-4.06436,0.09684588
37.0,-3.565967,-4.0650544,0.09683007
38.0,-3.5651288,-4.0657487,0.09681426
39.0,-3.5642905,-4.0664425,0.09679844
40.0,-3.5634518,-4.0671363,0.096782625
41.0,-3.5626132,-4.0678296,0.0967668
42.0,-3.5617743,-4.068523,0.096750975
43.0,-3.5609353,-4.0692163,0.09673514
44.0,-3.5600963,-4.0699096,0.09671931
45.0,-3.5592568,-4.0706024,0.09670347
46.0,-3.5584173,-4.071295,0.09668762
47.0,-3.5575778,-4.0719876,0.096671775
48.0,-3.5567381,-4.07268,0.09665593
49.0,-3.5558982,-4.073372,0.096640065
50.0,-3.555058,-4.0740643,0.09662421
51.0,-3.5542178,-4.074756,0.09660834
52.0,-3.5533776,-4.0754476,0.09659248
53.0,-3.552537,-4.076139,0.0965766
54.0,-3.5516963,-4.0768304,0.096560724
55.0,-3.5508556,-4.077522,0.09654485
56.0,-3.5500147,-4.0782127,0.09652896
