t,x,y,z
0.0,-0.3240258,-1.4480151,-0.0222607
1.0,-0.3218986,-1.4482915,-0.022318862
2.0,-0.31977075,-1.448565,-0.02237698
3.0,-0.31764224,-1.4488355,-0.022435052
4.0,-0.3155131,-1.4491031,-0.02249308
5.0,-0.3133833,-1.4493678,-0.02255106
6.0,-0.31125286,-1.4496293,-0.022608994
7.0,-0.3091218,-1.4498881,-0.022666883
8.0,-0.3069901,-1.4501438,-0.022724723
9.0,-0.30485776,-1.4503965,-0.02278252
10.0,-0.3027248,-1.4506464,-0.022840269
11.0,-0.30059123,-1.4508932,-0.02289797
12.0,-0.29845703,-1.4511371,-0.022955626
13.0,-0.29632223,-1.451378,-0.023013234
14.0,-0.29418683,-1.4516158,-0.023070795
15.0,-0.2920508,-1.4518508,-0.02312831
16.0,-0.28991422,-1.4520828,-0.023185777
17.0,-0.287777,-1.4523118,-0.023243194
18.0,-0.28563923,-1.4525378,-0.023300566
19.0,-0.28350085,-1.4527608,-0.02335789
20.0,-0.28136188,-1.4529809,-0.023415165
21.0,-0.27922234,-1.453198,-0.023472393
22.0,-0.27708223,-1.453412,-0.023529572
23.0,-0.27494153,-1.453623,-0.023586703
24.0,-0.2728003,-1.4538312,-0.023643786
25.0,-0.2706585,-1.4540364,-0.02370082
26.0,-0.26851612,-1.4542384,-0.023757804
27.0,-0.26637322,-1.4544376,-0.023814742
28.0,-0.26422974,-1.4546337,-0.023871629
29.0,-0.26208574,-1.4548268,-0.023928465
30.0,-0.2599412,-1.455017,-0.023985256
31.0,-0.2577961,-1.4552041,-0.024041994
32.0,-0.2556505,-1.4553883,-0.024098683
33.0,-0.25350437,-1.4555695,-0.024155324
34.0,-0.2513577,-1.4557476,-0.024211913
35.0,-0.24921052,-1.4559227,-0.024268454
36.0,-0.24706282,-1.4560949,-0.024324944
37.0,-0.2449146,-1.456264,-0.024381382
38.0,-0.24276589,-1.4564301,-0.024437772
39.0,-0.24061668,-1.4565932,-0.024494112
40.0,-0.23846696,-1.4567533,-0.024550399
41.0,-0.23631676,-1.4569104,-0.024606636
42.0,-0.23416606,-1.4570644,-0.024662822
43.0,-0.23201488,-1.4572154,-0.024718959
44.0,-0.22986321,-1.4573634,-0.024775043
45.0,-0.22771108,-1.4575084,-0.024831075
46.0,-0.22555847,-1.4576504,-0.024887057
47.0,-0.22340539,-1.4577893,-0.024942987
48.0,-0.22125185,-1.4579252,-0.024998864
49.0,-0.21909785,-1.4580581,-0.02505469
50.0,-0.2169434,-1.458188,-0.025110463
51.0,-0.2147885,-1.4583149,-0.025166186
52.0,-0.21263313,-1.4584386,-0.025221854
53.0,-0.21047735,-1.4585595,-0.025277471
54.0,-0.20832111,-1.4586772,-0.025333036
55.0,-0.20616445,-1.4587919,-0.025388548
56.0,-0.20400736,-1.4589036,-0.025444007
57.0,-0.20184985,-1.4590123,-0.025499413
58.0,-0.1996919,-1.4591178,-0.025554765
59.0,-0.19753355,-1.4592204,-0.025610065
60.0,-0.19537479,-1.45932,-0.025665311
61.0,-0.19321561,-1.4594164,-0.025720503
62.0,-0.19105603,-1.4595097,-0.025775643
63.0,-0.18889606,-1.4596002,-0.025830729
64.0,-0.18673569,-1.4596875,-0.025885759
65.0,-0.18457493,-1.4597718,-0.025940737
66.0,-0.18241379,-1.459853,-0.02599566
67.0,-0.18025227,-1.4599313,-0.026050529
68.0,-0.17809036,-1.4600064,-0.026105342
69.0,-0.17592809,-1.4600784,-0.026160102
70.0,-0.17376545,-1.4601474,-0.026214806
71.0,-0.17160244,-1.4602134,-0.026269456
72.0,-0.16943908,-1.4602764,-0.026324052
73.0,-0.16727535,-1.4603362,-0.026378592
74.0,-0.16511129,-1.460393,-0.026433077
75.0,-0.16294686,-1.4604467,-0.026487505
76.0,-0.16078211,-1.4604974,-0.02654188
77.0,-0.15861702,-1.460545,-0.026596196
78.0,-0.1564516,-1.4605894,-0.026650459
79.0,-0.15428583,-1.4606309,-0.026704665
80.0,-0.15211976,-1.4606693,-0.026758814
81.0,-0.14995335,-1.4607047,-0.02681291
82.0,-0.14778665,-1.4607369,-0.026866946
83.0,-0.14561962,-1.4607661,-0.026920928
84.0,-0.14345229,-1.4607922,-0.026974851
85.0,-0.14128464,-1.4608152,-0.027028719
86.0,-0.13911672,-1.4608352,-0.027082529
87.0,-0.1369485,-1.4608521,-0.027136283
88.0,-0.13477999,-1.4608659,-0.02718998
89.0,-0.13261119,-1.4608766,-0.027243618
90.0,-0.13044211,-1.4608843,-0.0272972
91.0,-0.12827277,-1.4608889,-0.027350724
92.0,-0.12610315,-1.4608903,-0.027404191
93.0,-0.12393326,-1.4608887,-0.027457599
94.0,-0.12176311,-1.4608841,-0.027510948
95.0,-0.119592704,-1.4608762,-0.027564242
96.0,-0.11742205,-1.4608654,-0.027617475
97.0,-0.115251146,-1.4608514,-0.027670652
98.0,-0.113079995,-1.4608344,-0.027723769
99.0,-0.110908605,-1.4608142,-0.027776828
100.0,-0.108736984,-1.4607911,-0.027829828
101.0,-0.10656513,-1.4607648,-0.027882768
102.0,-0.10439305,-1.4607353,-0.02793565
103.0,-0.10222075,-1.4607029,-0.027988473
104.0,-0.10004824,-1.4606673,-0.028041236
105.0,-0.097875506,-1.4606285,-0.02809394
106.0,-0.09570257,-1.4605868,-0.028146584
107.0,-0.09352943,-1.4605418,-0.028199168
108.0,-0.0913561,-1.4604939,-0.028251693
109.0,-0.08918256,-1.4604428,-0.028304158
110.0,-0.08700884,-1.4603885,-0.028356561
111.0,-0.08483494,-1.4603313,-0.028408905
112.0,-0.082660854,-1.4602709,-0.02846119
113.0,-0.080486596,-1.4602073,-0.028513413
114.0,-0.07831216,-1.4601407,-0.028565574
115.0,-0.076137565,-1.460071,-0.028617676
116.0,-0.0739628,-1.4599981,-0.028669719
117.0,-0.07178789,-1.4599222,-0.028721698
118.0,-0.069612816,-1.4598432,-0.028773615
119.0,-0.0674376,-1.4597609,-0.028825473
120.0,-0.065262236,-1.4596757,-0.02887727
121.0,-0.06308673,-1.4595872,-0.028929003
122.0,-0.060911097,-1.4594958,-0.028980676
123.0,-0.05873533,-1.4594011,-0.029032286
124.0,-0.056559436,-1.4593034,-0.029083835
125.0,-0.054383427,-1.4592025,-0.02913532
126.0,-0.0522073,-1.4590986,-0.029186744
127.0,-0.05003106,-1.4589914,-0.029238107
128.0,-0.04785471,-1.4588811,-0.029289406
129.0,-0.04567826,-1.4587679,-0.029340642
130.0,-0.043501716,-1.4586514,-0.029391816
131.0,-0.041325077,-1.4585317,-0.029442927
132.0,-0.03914835,-1.4584091,-0.029493975
133.0,-0.03697154,-1.4582832,-0.029544959
134.0,-0.034794647,-1.4581542,-0.02959588
135.0,-0.032617684,-1.4580221,-0.029646738
136.0,-0.030440649,-1.4578869,-0.029697532
137.0,-0.028263548,-1.4577485,-0.029748261
138.0,-0.026086388,-1.457607,-0.029798929
139.0,-0.023909172,-1.4574624,-0.029849531
140.0,-0.021731904,-1.4573147,-0.029900068
141.0,-0.01955459,-1.4571638,-0.029950542
142.0,-0.017377235,-1.4570098,-0.030000953
143.0,-0.015199841,-1.4568527,-0.030051297
144.0,-0.013022415,-1.4566923,-0.030101579
145.0,-0.010844962,-1.4565289,-0.030151794
146.0,-0.008667485,-1.4563624,-0.030201944
147.0,-0.00648999,-1.4561927,-0.03025203
148.0,-0.0043124803,-1.4560199,-0.03030205
149.0,-0.0021349622,-1.4558439,-0.030352006
150.0,4.2560405E-5,-1.4556648,-0.030401895
151.0,0.0022200828,-1.4554826,-0.030451719
152.0,0.0043976004,-1.4552971,-0.030501477
153.0,0.006575108,-1.4551086,-0.030551169
154.0,0.008752601,-1.454917,-0.030600796
155.0,0.010930076,-1.4547222,-0.030650357
156.0,0.013107527,-1.4545242,-0.030699851
157.0,0.015284949,-1.454323,-0.030749278
158.0,0.017462337,-1.4541188,-0.03079864
159.0,0.01963969,-1.4539114,-0.030847935
160.0,0.021816997,-1.4537009,-0.030897163
161.0,0.023994258,-1.4534872,-0.030946324
162.0,0.026171466,-1.4532703,-0.030995417
163.0,0.02834862,-1.4530504,-0.031044444
164.0,0.030525709,-1.4528272,-0.031093404
165.0,0.032702733,-1.4526008,-0.031142294
166.0,0.034879684,-1.4523715,-0.03119112
167.0,0.03705656,-1.4521389,-0.031239877
168.0,0.03923336,-1.4519031,-0.031288564
169.0,0.04141007,-1.4516642,-0.031337187
170.0,0.04358669,-1.4514221,-0.03138574
171.0,0.045763217,-1.4511769,-0.031434223
172.0,0.047939643,-1.4509286,-0.03148264
173.0,0.050115965,-1.450677,-0.031530987
174.0,0.052292176,-1.4504224,-0.031579267
175.0,0.054468278,-1.4501646,-0.03162748
176.0,0.056644257,-1.4499035,-0.03167562
177.0,0.058820114,-1.4496393,-0.031723693
178.0,0.06099584,-1.449372,-0.031771697
179.0,0.06317144,-1.4491016,-0.03181963
180.0,0.06534689,-1.448828,-0.031867497
181.0,0.067522205,-1.4485512,-0.031915292
182.0,0.06969737,-1.4482713,-0.031963017
183.0,0.07187239,-1.4479882,-0.03201067
184.0,0.074047245,-1.4477018,-0.032058258
185.0,0.07622194,-1.4474124,-0.032105774
186.0,0.07839647,-1.4471198,-0.03215322
187.0,0.080570824,-1.4468241,-0.032200597
188.0,0.08274501,-1.4465251,-0.0322479
189.0,0.084919006,-1.446223,-0.032295138
190.0,0.087092824,-1.4459177,-0.0323423
191.0,0.08926644,-1.4456093,-0.032389395
192.0,0.09143987,-1.4452977,-0.032436416
193.0,0.093613096,-1.444983,-0.032483365
194.0,0.09578612,-1.4446651,-0.03253025
195.0,0.09795893,-1.444344,-0.032577056
196.0,0.10013153,-1.4440198,-0.032623794
197.0,0.10230391,-1.4436923,-0.032670457
198.0,0.10447606,-1.4433618,-0.032717053
199.0,0.106647976,-1.443028,-0.032763574
200.0,0.10881966,-1.4426911,-0.032810025
201.0,0.11099111,-1.442351,-0.032856405
202.0,0.11316232,-1.4420077,-0.03290271
203.0,0.115333274,-1.4416612,-0.03294894
204.0,0.11750398,-1.4413116,-0.032995105
205.0,0.11967442,-1.4409589,-0.03304119
206.0,0.1218446,-1.4406029,-0.03308721
207.0,0.12401451,-1.4402437,-0.03313315
208.0,0.12618415,-1.4398814,-0.033179022
209.0,0.1283535,-1.439516,-0.033224817
210.0,0.13052258,-1.4391474,-0.03327054
211.0,0.13269137,-1.4387755,-0.03331619
212.0,0.13485987,-1.4384005,-0.033361766
213.0,0.13702807,-1.4380224,-0.03340727
214.0,0.13919596,-1.437641,-0.0334527
215.0,0.14136355,-1.4372565,-0.033498056
216.0,0.14353083,-1.4368688,-0.033543337
217.0,0.14569779,-1.4364779,-0.033588544
218.0,0.14786442,-1.4360839,-0.03363368
219.0,0.15003073,-1.4356867,-0.033678737
220.0,0.1521967,-1.4352863,-0.03372372
221.0,0.15436235,-1.4348828,-0.03376863
222.0,0.15652764,-1.434476,-0.033813465
223.0,0.1586926,-1.434066,-0.033858225
224.0,0.16085719,-1.433653,-0.03390291
225.0,0.16302143,-1.4332367,-0.03394752
226.0,0.16518532,-1.4328172,-0.033992056
227.0,0.16734883,-1.4323946,-0.034036513
228.0,0.16951197,-1.4319688,-0.0340809
229.0,0.17167474,-1.4315398,-0.034125205
230.0,0.17383713,-1.4311076,-0.03416944
231.0,0.17599912,-1.4306723,-0.034213595
232.0,0.17816074,-1.4302338,-0.034257676
233.0,0.18032195,-1.4297922,-0.03430168
234.0,0.18248276,-1.4293473,-0.03434561
235.0,0.18464316,-1.4288992,-0.034389462
236.0,0.18680316,-1.428448,-0.034433234
237.0,0.18896274,-1.4279935,-0.034476936
238.0,0.19112189,-1.427536,-0.034520555
239.0,0.19328062,-1.4270751,-0.0345641
240.0,0.19543894,-1.4266112,-0.03460757
241.0,0.1975968,-1.4261441,-0.03465096
242.0,0.19975422,-1.4256738,-0.034694273
243.0,0.2019112,-1.4252003,-0.03473751
244.0,0.20406774,-1.4247236,-0.03478067
245.0,0.2062238,-1.4242438,-0.03482375
246.0,0.20837942,-1.4237608,-0.034866754
247.0,0.21053456,-1.4232746,-0.03490968
248.0,0.21268924,-1.4227852,-0.03495253
249.0,0.21484344,-1.4222926,-0.034995295
250.0,0.21699716,-1.4217969,-0.035037987
251.0,0.2191504,-1.421298,-0.0350806
252.0,0.22130315,-1.4207959,-0.035123136
253.0,0.2234554,-1.4202906,-0.03516559
254.0,0.22560714,-1.4197822,-0.03520797
255.0,0.2277584,-1.4192705,-0.035250265
256.0,0.22990912,-1.4187557,-0.035292488
257.0,0.23205934,-1.4182377,-0.035334628
258.0,0.23420905,-1.4177165,-0.035376687
259.0,0.23635821,-1.4171921,-0.03541867
260.0,0.23850685,-1.4166646,-0.035460573
261.0,0.24065496,-1.4161339,-0.035502393
262.0,0.24280253,-1.4156001,-0.03554414
263.0,0.24494955,-1.4150629,-0.035585802
264.0,0.24709603,-1.4145226,-0.035627384
265.0,0.24924195,-1.4139793,-0.035668887
266.0,0.2513873,-1.4134327,-0.03571031
267.0,0.25353208,-1.4128829,-0.035751652
268.0,0.2556763,-1.4123299,-0.035792917
269.0,0.25781995,-1.4117738,-0.035834096
270.0,0.259963,-1.4112145,-0.035875197
271.0,0.2621055,-1.4106519,-0.03591622
272.0,0.2642474,-1.4100863,-0.035957158
273.0,0.26638868,-1.4095174,-0.035998017
274.0,0.26852936,-1.4089454,-0.036038794
275.0,0.27066946,-1.4083703,-0.03607949
276.0,0.27280894,-1.4077919,-0.036120106
277.0,0.2749478,-1.4072104,-0.036160637
278.0,0.27708602,-1.4066255,-0.03620109
279.0,0.27922365,-1.4060377,-0.03624146
280.0,0.28136063,-1.4054465,-0.03628175
281.0,0.28349698,-1.4048523,-0.036321953
282.0,0.28563267,-1.4042549,-0.036362078
283.0,0.28776774,-1.4036543,-0.03640212
284.0,0.28990215,-1.4030505,-0.03644208
285.0,0.2920359,-1.4024435,-0.036481958
286.0,0.294169,-1.4018334,-0.03652175
287.0,0.29630142,-1.4012201,-0.036561463
288.0,0.29843318,-1.4006037,-0.036601093
289.0,0.30056426,-1.399984,-0.036640637
290.0,0.30269465,-1.3993611,-0.036680102
291.0,0.30482438,-1.3987352,-0.036719482
292.0,0.3069534,-1.398106,-0.036758777
293.0,0.3090817,-1.3974737,-0.036797993
294.0,0.31120935,-1.3968382,-0.03683712
295.0,0.31333625,-1.3961995,-0.036876168
296.0,0.31546247,-1.3955576,-0.03691513
297.0,0.31758794,-1.3949126,-0.036954008
298.0,0.3197127,-1.3942645,-0.036992803
299.0,0.32183674,-1.3936131,-0.037031513
300.0,0.32396007,-1.3929585,-0.03707014
301.0,0.32608262,-1.3923008,-0.037108682
302.0,0.32820445,-1.3916401,-0.03714714
303.0,0.33032554,-1.390976,-0.037185512
304.0,0.33244586,-1.3903089,-0.0372238
305.0,0.33456543,-1.3896384,-0.037262004
306.0,0.33668426,-1.3889649,-0.037300125
307.0,0.3388023,-1.3882883,-0.037338156
308.0,0.34091955,-1.3876084,-0.037376106
