t,x,y,z
0.0,0.22263655,-0.37135884,-0.050712876
1.0,0.22540313,-0.36896944,-0.050773315
2.0,0.22815152,-0.36655027,-0.050829656
3.0,0.23088141,-0.36410138,-0.05088188
4.0,0.23359251,-0.36162287,-0.050929964
5.0,0.23628452,-0.3591148,-0.050973885
6.0,0.23895715,-0.35657728,-0.05101362
7.0,0.24161008,-0.35401034,-0.05104915
8.0,0.244243,-0.35141408,-0.051080454
9.0,0.2468556,-0.34878862,-0.05110751
10.0,0.24944758,-0.34613404,-0.0511303
11.0,0.25201863,-0.34345037,-0.051148795
12.0,0.25456846,-0.34073776,-0.05116298
13.0,0.2570967,-0.3379963,-0.051172834
14.0,0.25960308,-0.3352261,-0.051178332
15.0,0.26208726,-0.33242723,-0.051179454
16.0,0.26454893,-0.32959983,-0.051176183
17.0,0.26698777,-0.32674396,-0.051168498
18.0,0.26940346,-0.32385978,-0.05115637
19.0,0.2717957,-0.32094735,-0.05113979
20.0,0.2741641,-0.31800687,-0.051118735
21.0,0.27650842,-0.31503838,-0.051093176
22.0,0.2788283,-0.31204203,-0.051063105
23.0,0.28112337,-0.30901796,-0.051028494
24.0,0.28339332,-0.3059663,-0.050989322
25.0,0.28563786,-0.30288714,-0.050945576
26.0,0.2878566,-0.2997807,-0.050897233
27.0,0.29004925,-0.29664704,-0.050844274
28.0,0.29221544,-0.29348633,-0.05078668
29.0,0.29435486,-0.29029873,-0.050724432
30.0,0.29646716,-0.28708437,-0.050657507
31.0,0.29855198,-0.28384343,-0.050585892
32.0,0.30060902,-0.28057605,-0.05050957
33.0,0.3026379,-0.27728242,-0.050428513
34.0,0.30463827,-0.27396268,-0.05034271
35.0,0.30660984,-0.27061698,-0.05025214
36.0,0.3085522,-0.26724556,-0.05015679
37.0,0.31046504,-0.26384854,-0.050056636
38.0,0.31234798,-0.2604261,-0.04995167
39.0,0.3142007,-0.25697848,-0.049841862
40.0,0.31602284,-0.25350586,-0.049727205
41.0,0.31781402,-0.2500084,-0.04960768
42.0,0.3195739,-0.24648632,-0.04948327
43.0,0.32130215,-0.24293983,-0.049353957
44.0,0.32299837,-0.23936915,-0.04921973
45.0,0.32466224,-0.23577447,-0.049080573
46.0,0.32629338,-0.23215604,-0.048936464
47.0,0.32789144,-0.22851405,-0.048787396
48.0,0.32945606,-0.22484876,-0.048633352
49.0,0.33098686,-0.2211604,-0.048474316
50.0,0.33248347,-0.2174492,-0.048310272
51.0,0.33394554,-0.21371542,-0.048141215
52.0,0.33537275,-0.2099593,-0.047967125
53.0,0.33676466,-0.20618111,-0.04778799
54.0,0.33812094,-0.20238109,-0.0476038
55.0,0.33944124,-0.19855954,-0.04741454
56.0,0.34072515,-0.1947167,-0.047220204
57.0,0.34197232,-0.19085288,-0.047020774
58.0,0.3431824,-0.18696834,-0.046816245
59.0,0.34435502,-0.1830634,-0.0466066
60.0,0.34548977,-0.17913833,-0.046391837
61.0,0.34658635,-0.17519347,-0.04617194
62.0,0.34764433,-0.1712291,-0.045946907
63.0,0.34866336,-0.16724554,-0.045716725
64.0,0.34964305,-0.16324313,-0.04548139
65.0,0.35058308,-0.15922219,-0.04524089
66.0,0.35148305,-0.15518305,-0.044995222
67.0,0.35234258,-0.15112606,-0.04474438
68.0,0.35316133,-0.14705159,-0.044488356
69.0,0.3539389,-0.14295997,-0.044227146
70.0,0.35467497,-0.13885157,-0.04396075
71.0,0.35536912,-0.13472678,-0.043689158
72.0,0.35602102,-0.13058597,-0.043412372
73.0,0.3566303,-0.12642951,-0.043130387
74.0,0.35719657,-0.12225782,-0.042843204
75.0,0.35771948,-0.118071295,-0.04255082
76.0,0.3581987,-0.11387034,-0.042253237
77.0,0.35863382,-0.109655365,-0.041950457
78.0,0.35902452,-0.10542681,-0.041642476
79.0,0.3593704,-0.101185106,-0.041329302
80.0,0.35967118,-0.09693069,-0.041010935
81.0,0.35992643,-0.09266401,-0.04068738
82.0,0.36013582,-0.08838553,-0.04035864
83.0,0.36029902,-0.08409571,-0.040024724
84.0,0.36041567,-0.079795025,-0.039685637
85.0,0.36048543,-0.07548396,-0.03934139
86.0,0.36050797,-0.071163006,-0.038991984
87.0,0.36048293,-0.06683266,-0.038637437
88.0,0.36041,-0.06249344,-0.038277753
89.0,0.36028883,-0.058145855,-0.03791295
90.0,0.36011907,-0.05379043,-0.037543032
91.0,0.35990044,-0.049427707,-0.03716802
92.0,0.3596326,-0.045058224,-0.036787927
93.0,0.35931525,-0.04068254,-0.036402766
94.0,0.35894808,-0.036301214,-0.03601256
95.0,0.35853073,-0.03191482,-0.03561732
96.0,0.35806295,-0.027523931,-0.03521707
97.0,0.35754445,-0.023129147,-0.03481183
98.0,0.3569749,-0.01873106,-0.03440162
99.0,0.35635403,-0.014330282,-0.033986468
100.0,0.35568154,-0.00992743,-0.033566393
101.0,0.35495722,-0.005523131,-0.03314142
102.0,0.35418072,-0.0011180221,-0.032711584
103.0,0.35335183,0.0032872516,-0.032276902
104.0,0.35247028,0.0076920344,-0.031837415
105.0,0.35153586,0.012095662,-0.031393148
106.0,0.35054824,0.01649746,-0.030944135
107.0,0.34950727,0.020896744,-0.030490411
108.0,0.3484127,0.025292823,-0.030032009
109.0,0.3472643,0.029684994,-0.02956897
110.0,0.3460619,0.034072544,-0.02910133
111.0,0.3448052,0.038454756,-0.02862913
112.0,0.34349415,0.0428309,-0.028152412
113.0,0.3421285,0.047200233,-0.02767122
114.0,0.34070808,0.051562008,-0.027185598
115.0,0.3392327,0.05591547,-0.026695594
116.0,0.33770227,0.060259856,-0.026201256
117.0,0.33611664,0.06459439,-0.025702633
118.0,0.33447564,0.06891828,-0.025199778
119.0,0.33277917,0.07323074,-0.024692746
120.0,0.33102715,0.07753097,-0.02418159
