t,x,y,z
0.0,17.44248,9.554556,-0.19075556
1.0,17.442194,9.555047,-0.19075003
2.0,17.441906,9.555538,-0.1907445
3.0,17.441618,9.556028,-0.19073898
4.0,17.44133,9.5565195,-0.19073345
5.0,17.441042,9.557011,-0.1907279
6.0,17.440754,9.557502,-0.19072238
7.0,17.440466,9.557992,-0.19071685
8.0,17.440178,9.558483,-0.19071132
9.0,17.43989,9.558974,-0.19070579
10.0,17.439604,9.559465,-0.19070026
11.0,17.439316,9.559956,-0.19069473
12.0,17.439028,9.560447,-0.19068919
13.0,17.43874,9.560938,-0.19068366
14.0,17.438452,9.561428,-0.19067813
15.0,17.438164,9.561919,-0.1906726
16.0,17.437876,9.56241,-0.19066708
17.0,17.437588,9.562901,-0.19066153
18.0,17.4373,9.563392,-0.190656
19.0,17.437012,9.563883,-0.19065048
20.0,17.436724,9.564373,-0.19064495
21.0,17.436436,9.564864,-0.1906394
22.0,17.436148,9.565355,-0.19063388
23.0,17.43586,9.5658455,-0.19062835
24.0,17.435572,9.566337,-0.1906228
25.0,17.435284,9.566827,-0.19061728
26.0,17.434996,9.567318,-0.19061175
27.0,17.434708,9.567809,-0.1906062
28.0,17.43442,9.568299,-0.19060068
29.0,17.434132,9.56879,-0.19059515
30.0,17.433842,9.569281,-0.1905896
31.0,17.433554,9.569772,-0.19058408
32.0,17.433266,9.570262,-0.19057855
33.0,17.432978,9.570753,-0.190573
34.0,17.43269,9.571244,-0.19056748
35.0,17.432402,9.571734,-0.19056194
36.0,17.432114,9.572226,-0.1905564
37.0,17.431826,9.572716,-0.19055088
38.0,17.431538,9.573207,-0.19054534
39.0,17.431248,9.573697,-0.1905398
40.0,17.43096,9.574188,-0.19053426
41.0,17.430672,9.574678,-0.19052874
42.0,17.430384,9.575169,-0.19052319
43.0,17.430096,9.57566,-0.19051766
44.0,17.429808,9.57615,-0.19051212
45.0,17.429518,9.576641,-0.19050659
46.0,17.42923,9.577131,-0.19050105
47.0,17.428942,9.577622,-0.19049552
48.0,17.428654,9.578113,-0.19048998
49.0,17.428366,9.578603,-0.19048443
50.0,17.428076,9.579094,-0.1904789
51.0,17.427788,9.579584,-0.19047336
52.0,17.4275,9.580075,-0.19046783
53.0,17.427212,9.580565,-0.19046229
54.0,17.426922,9.581056,-0.19045675
55.0,17.426634,9.581547,-0.19045122
56.0,17.426346,9.582037,-0.19044568
57.0,17.426058,9.582527,-0.19044015
58.0,17.425768,9.583018,-0.1904346
59.0,17.42548,9.5835085,-0.19042906
60.0,17.425192,9.583999,-0.19042353
61.0,17.424902,9.58449,-0.19041799
62.0,17.424614,9.58498,-0.19041245
63.0,17.424326,9.58547,-0.1904069
64.0,17.424036,9.58596,-0.19040138
65.0,17.423748,9.586452,-0.19039583
66.0,17.42346,9.586942,-0.19039029
67.0,17.42317,9.587432,-0.19038475
68.0,17.422882,9.587922,-0.19037922
69.0,17.422594,9.588413,-0.19037367
70.0,17.422304,9.588903,-0.19036813
71.0,17.422016,9.589394,-0.19036259
72.0,17.421726,9.589884,-0.19035704
73.0,17.421438,9.590375,-0.19035152
74.0,17.42115,9.590865,-0.19034597
75.0,17.42086,9.591355,-0.19034043
76.0,17.420572,9.5918455,-0.19033489
77.0,17.420282,9.592336,-0.19032934
78.0,17.419994,9.592826,-0.1903238
79.0,17.419704,9.593317,-0.19031827
80.0,17.419416,9.593807,-0.19031273
81.0,17.419127,9.594297,-0.19030719
82.0,17.418839,9.594788,-0.19030164
83.0,17.41855,9.595278,-0.1902961
84.0,17.41826,9.595768,-0.19029056
85.0,17.417973,9.596258,-0.19028501
86.0,17.417683,9.596748,-0.19027947
87.0,17.417395,9.597239,-0.19027393
88.0,17.417105,9.59773,-0.19026838
89.0,17.416815,9.59822,-0.19026284
90.0,17.416527,9.59871,-0.1902573
91.0,17.416237,9.5992,-0.19025175
92.0,17.415949,9.59969,-0.19024621
93.0,17.415659,9.600181,-0.19024067
94.0,17.41537,9.600671,-0.19023512
95.0,17.415081,9.601161,-0.19022958
96.0,17.414793,9.601651,-0.19022404
97.0,17.414503,9.602141,-0.1902185
98.0,17.414213,9.602632,-0.19021295
99.0,17.413925,9.603122,-0.1902074
100.0,17.413635,9.603612,-0.19020186
101.0,17.413347,9.604102,-0.1901963
102.0,17.413057,9.604592,-0.19019076
103.0,17.412767,9.6050825,-0.19018522
104.0,17.41248,9.605573,-0.19017968
105.0,17.41219,9.606062,-0.19017413
106.0,17.4119,9.606552,-0.19016859
107.0,17.411612,9.607042,-0.19016305
108.0,17.411322,9.6075325,-0.19015749
109.0,17.411032,9.608023,-0.19015194
110.0,17.410744,9.608513,-0.1901464
