t,x,y,z
0.0,0.76316726,-10.035583,0.14548519
1.0,0.7639577,-10.035522,0.14545277
2.0,0.76474816,-10.035462,0.14542036
3.0,0.7655386,-10.035402,0.14538793
4.0,0.766329,-10.035341,0.14535552
5.0,0.76711935,-10.035281,0.1453231
6.0,0.76790977,-10.03522,0.14529069
7.0,0.7687002,-10.03516,0.14525826
8.0,0.7694906,-10.035099,0.14522584
9.0,0.77028096,-10.035039,0.14519343
10.0,0.7710714,-10.034978,0.145161
11.0,0.77186173,-10.034917,0.14512858
12.0,0.7726521,-10.034856,0.14509615
13.0,0.7734425,-10.034795,0.14506373
14.0,0.77423286,-10.034734,0.1450313
15.0,0.7750232,-10.034673,0.14499886
16.0,0.7758136,-10.034612,0.14496644
17.0,0.77660394,-10.034551,0.14493401
18.0,0.77739424,-10.03449,0.14490157
19.0,0.7781846,-10.034428,0.14486915
20.0,0.77897495,-10.034367,0.14483671
21.0,0.77976525,-10.034305,0.14480428
22.0,0.7805556,-10.034244,0.14477184
23.0,0.7813459,-10.034182,0.14473942
24.0,0.7821362,-10.034121,0.14470698
25.0,0.78292656,-10.034059,0.14467454
26.0,0.78371686,-10.033997,0.1446421
27.0,0.78450716,-10.033935,0.14460966
28.0,0.78529745,-10.033873,0.14457722
29.0,0.78608775,-10.033811,0.14454478
30.0,0.786878,-10.033749,0.14451234
31.0,0.7876683,-10.033687,0.1444799
32.0,0.7884586,-10.033625,0.14444745
33.0,0.7892488,-10.033562,0.144415
34.0,0.7900391,-10.0335,0.14438257
35.0,0.79082936,-10.033437,0.14435011
36.0,0.7916196,-10.033375,0.14431767
37.0,0.7924099,-10.033312,0.14428522
38.0,0.79320014,-10.03325,0.14425276
39.0,0.7939904,-10.033187,0.14422032
40.0,0.7947806,-10.033124,0.14418787
41.0,0.79557085,-10.033061,0.14415541
42.0,0.796361,-10.032998,0.14412296
43.0,0.79715127,-10.032935,0.1440905
44.0,0.7979415,-10.032872,0.14405805
45.0,0.7987317,-10.032809,0.1440256
46.0,0.7995219,-10.032746,0.14399314
