t,x,y,z
0.0,28.826653,-8.082851,-0.49468103
1.0,28.826778,-8.082393,-0.49469334
2.0,28.826904,-8.081935,-0.49470565
3.0,28.82703,-8.081476,-0.49471793
4.0,28.827156,-8.0810175,-0.49473023
5.0,28.827282,-8.080559,-0.4947425
6.0,28.827408,-8.080101,-0.49475482
7.0,28.827532,-8.079642,-0.4947671
8.0,28.827658,-8.079184,-0.4947794
9.0,28.827784,-8.078725,-0.4947917
10.0,28.82791,-8.078267,-0.494804
11.0,28.828035,-8.077808,-0.49481627
12.0,28.828161,-8.07735,-0.49482858
13.0,28.828287,-8.076891,-0.49484086
14.0,28.828413,-8.076433,-0.49485317
15.0,28.828537,-8.075974,-0.49486545
16.0,28.828663,-8.075516,-0.49487776
17.0,28.828789,-8.075057,-0.49489003
18.0,28.828915,-8.074598,-0.49490234
19.0,28.82904,-8.074141,-0.49491462
20.0,28.829166,-8.073682,-0.49492693
21.0,28.82929,-8.073223,-0.4949392
22.0,28.829416,-8.072764,-0.49495152
23.0,28.829542,-8.072306,-0.4949638
24.0,28.829668,-8.071848,-0.4949761
25.0,28.829794,-8.071389,-0.49498838
26.0,28.82992,-8.0709305,-0.49500066
27.0,28.830044,-8.070472,-0.49501297
28.0,28.83017,-8.070013,-0.49502525
29.0,28.830296,-8.069555,-0.49503756
30.0,28.830421,-8.069097,-0.49504983
31.0,28.830547,-8.068638,-0.49506214
32.0,28.830671,-8.068179,-0.49507442
33.0,28.830797,-8.06772,-0.4950867
34.0,28.830923,-8.067263,-0.495099
35.0,28.831049,-8.066804,-0.4951113
36.0,28.831173,-8.066345,-0.4951236
37.0,28.831299,-8.0658865,-0.49513587
38.0,28.831425,-8.065428,-0.49514818
39.0,28.83155,-8.064969,-0.49516046
40.0,28.831676,-8.064511,-0.49517274
41.0,28.8318,-8.064053,-0.49518505
42.0,28.831926,-8.063594,-0.49519733
43.0,28.832052,-8.063135,-0.4952096
44.0,28.832178,-8.062676,-0.4952219
45.0,28.832302,-8.062218,-0.4952342
46.0,28.832428,-8.06176,-0.4952465
47.0,28.832554,-8.061301,-0.49525878
48.0,28.832678,-8.0608425,-0.49527106
49.0,28.832804,-8.060384,-0.49528337
50.0,28.83293,-8.059925,-0.49529564
51.0,28.833055,-8.059466,-0.49530792
52.0,28.83318,-8.059008,-0.49532023
53.0,28.833305,-8.05855,-0.4953325
54.0,28.833431,-8.058091,-0.4953448
55.0,28.833555,-8.057632,-0.4953571
56.0,28.833681,-8.057174,-0.49536937
57.0,28.833807,-8.056715,-0.49538165
58.0,28.833933,-8.056256,-0.49539396
59.0,28.834057,-8.055798,-0.49540624
60.0,28.834183,-8.055339,-0.49541852
61.0,28.834309,-8.054881,-0.49543083
62.0,28.834433,-8.054422,-0.4954431
63.0,28.834558,-8.053964,-0.49545538
64.0,28.834684,-8.053505,-0.4954677
65.0,28.834808,-8.053046,-0.49547997
66.0,28.834934,-8.0525875,-0.49549225
67.0,28.83506,-8.052129,-0.49550453
68.0,28.835184,-8.05167,-0.49551684
69.0,28.83531,-8.051212,-0.49552912
