t,x,y,z
0.0,-0.3528405,0.62526035,0.028823135
1.0,-0.35548997,0.62374675,0.02895574
2.0,-0.35813302,0.62222195,0.029087825
3.0,-0.3607697,0.62068594,0.029219389
4.0,-0.36339983,0.61913884,0.029350428
5.0,-0.36602348,0.6175806,0.02948094
6.0,-0.36864057,0.61601126,0.029610923
7.0,-0.37125102,0.61443084,0.029740373
8.0,-0.37385482,0.6128394,0.02986929
9.0,-0.3764519,0.611237,0.029997671
10.0,-0.37904224,0.6096236,0.030125514
11.0,-0.38162574,0.60799927,0.030252816
12.0,-0.38420242,0.606364,0.030379575
13.0,-0.3867722,0.6047179,0.03050579
14.0,-0.389335,0.6030609,0.030631455
15.0,-0.39189085,0.60139304,0.03075657
16.0,-0.39443967,0.59971446,0.030881135
17.0,-0.3969814,0.5980251,0.031005144
18.0,-0.399516,0.5963249,0.031128597
19.0,-0.4020434,0.59461415,0.03125149
20.0,-0.4045636,0.5928926,0.03137382
21.0,-0.40707654,0.5911605,0.031495593
22.0,-0.40958217,0.5894177,0.031616796
23.0,-0.41208044,0.58766437,0.031737432
24.0,-0.41457132,0.5859005,0.031857498
25.0,-0.41705474,0.58412606,0.031976994
26.0,-0.4195307,0.58234113,0.032095917
27.0,-0.42199913,0.5805458,0.032214258
28.0,-0.42445993,0.57874,0.032332025
29.0,-0.42691317,0.57692385,0.032449212
30.0,-0.42935872,0.57509726,0.032565814
31.0,-0.43179655,0.5732604,0.03268183
32.0,-0.43422663,0.5714133,0.032797262
33.0,-0.43664894,0.5695559,0.032912105
34.0,-0.43906337,0.5676882,0.033026356
35.0,-0.44146994,0.5658104,0.033140015
36.0,-0.44386858,0.5639224,0.033253077
37.0,-0.44625923,0.56202424,0.033365544
38.0,-0.4486419,0.56011605,0.03347741
39.0,-0.4510165,0.5581978,0.033588678
40.0,-0.45338297,0.55626947,0.033699337
41.0,-0.45574135,0.5543312,0.033809397
42.0,-0.4580915,0.55238295,0.033918846
43.0,-0.46043345,0.5504248,0.03402769
44.0,-0.46276712,0.5484567,0.03413592
45.0,-0.4650925,0.54647887,0.034243535
46.0,-0.46740952,0.5444912,0.03435054
47.0,-0.46971813,0.5424937,0.034456924
48.0,-0.47201833,0.54048645,0.034562692
49.0,-0.47431004,0.53846955,0.03466784
50.0,-0.47659323,0.53644294,0.034772363
51.0,-0.47886786,0.5344067,0.03487626
52.0,-0.4811339,0.53236085,0.034979537
53.0,-0.4833913,0.5303055,0.03508218
54.0,-0.48564002,0.52824056,0.035184197
55.0,-0.48788002,0.5261662,0.03528558
56.0,-0.49011126,0.52408236,0.035386328
57.0,-0.49233368,0.5219891,0.035486445
58.0,-0.49454728,0.51988643,0.03558592
59.0,-0.496752,0.51777446,0.03568476
60.0,-0.4989478,0.51565325,0.035782956
61.0,-0.50113463,0.5135227,0.035880513
62.0,-0.50331247,0.51138294,0.035977423
63.0,-0.50548124,0.509234,0.03607369
64.0,-0.50764096,0.50707597,0.036169305
65.0,-0.50979155,0.5049088,0.03626427
66.0,-0.511933,0.5027326,0.036358587
67.0,-0.51406527,0.5005473,0.036452252
68.0,-0.5161883,0.49835303,0.03654526
69.0,-0.5183021,0.49614984,0.03663761
70.0,-0.52040654,0.4939377,0.03672931
